PersonID,CoachID,PlayerID,NAME,DOB
1,1,NULL,'Tom Thibodeau',1958-01-17
2,2,NULL,'Jacque Vaughn',1975-02-11
3,3,NULL,'Nick Nurse',1967-07-24
4,4,NULL,'Darko RajakoviÄ‡',1979-02-22
5,5,NULL,'Billy Donovan',1965-05-30
6,6,NULL,'J.B. Bickerstaff',1979-03-10
7,7,NULL,'Monty Williams',1971-10-08
8,8,NULL,'Rick Carlisle',1959-10-27
9,9,NULL,'Quin Snyder',1966-10-30
10,10,NULL,'Erik Spoelstra',1970-11-01
11,11,NULL,'Jamal Mosley',1979-10-25
12,12,NULL,'Wes Unseld Jr.',1976-03-03
13,13,NULL,'Michael Malone',1971-09-15
14,14,NULL,'Chris Finch',1969-11-06
15,15,NULL,'Mark Daigneault',1985-11-15
16,16,NULL,'Chauncey Billups',1976-09-25
17,17,NULL,'Steve Kerr',1965-09-27
18,18,NULL,'Tyronn Lue',1977-05-03
19,19,NULL,'Darvin Ham',1973-07-23
20,20,NULL,'Frank Vogel',1973-06-21
21,21,NULL,'Jason Kidd',1973-03-23
22,22,NULL,'Ime Udoka',1977-08-09
23,23,NULL,'Taylor Jenkins',1984-05-19
24,24,NULL,'Willie Green',1981-07-28
25,25,NULL,'Gregg Popovich',1949-01-28
26,NULL,1,'Arron Afflalo',1985-10-15
27,NULL,2,'Lou Amundson',1982-12-07
28,NULL,3,'Bojan Bogdanovic',1989-04-18
29,NULL,4,'Wayne Ellington',1987-11-29
30,NULL,5,'Chris Bosh',1984-03-24
31,NULL,6,'Cliff Alexander',1995-11-16
32,NULL,7,'Josh Richardson',1993-09-15
33,NULL,8,'Steven Adams',1993-07-20
34,NULL,9,'Elton Brand',1979-03-11
35,NULL,10,'Stephen Curry',1988-03-14
36,NULL,11,'Gorgui Dieng',1990-01-18
37,NULL,12,'Wesley Matthews',1986-10-14
38,NULL,13,'LeBron James',1984-12-30
39,NULL,14,'Bruno Caboclo',1995-09-21
40,NULL,15,'Nikola Mirotic',1991-02-11
41,NULL,16,'Hassan Whiteside',1989-06-13
42,NULL,17,'Omer Asik',1986-07-04
43,NULL,18,'Kyle Singler',1988-05-04
44,NULL,19,'Kyle Korver',1981-03-17
45,NULL,20,'Donald Sloan',1988-01-15
46,NULL,21,'Derrick Williams',1991-05-25
47,NULL,22,'Patrick Beverley',1988-07-12
48,NULL,23,'Jamal Crawford',1980-03-20
49,NULL,24,'Joel Anthony',1982-08-09
50,NULL,25,'Derrick Rose',1988-10-04
51,NULL,26,'Giannis Antetokounmpo',1994-12-06
52,NULL,27,'Nicolas Batum',1988-12-14
53,NULL,28,'Amir Johnson',1987-05-01
54,NULL,29,'Trevor Booker',1987-11-25
55,NULL,30,'Quincy Acy',1990-08-06
56,26,NULL,'Adrian Griffin',1974-06-04
57,27,NULL,'Steve Clifford',1961-9-17
58,28,NULL,'Joe Mazzulla',1988-06-30
59,29,NULL,'Will Hardy',1988-01-21
60,30,NULL,'Mike Brown',1970-03-05